Slug,Name,URL,Category,Additional Categories,Subcategories,All Subcategories,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
pay-button,Pay Button,https://www.wix.com/app-market/web-solution/pay-button,eCommerce,,sell-buttons:Sell Buttons,,1.5,42,,Wix,Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/d2c887_93408c6974ed48c5a3536ce421323470~mv2.png/v1/fill/d2c887_93408c6974ed48c5a3536ce421323470~mv2.png,,2025-07-06T23:07:11.660Z
wix-stores,Wix Stores,https://www.wix.com/app-market/web-solution/wix-stores,eCommerce,,stores:Stores,,4.2,4418,,Wix,Professional eCommerce platform to sell online,true,https://static.wixstatic.com/media/22e53e_a53027e61c334a428ee8fd64dd776792~mv2.png/v1/fill/22e53e_a53027e61c334a428ee8fd64dd776792~mv2.png,,2025-07-06T23:07:11.751Z
bookings,Wix Bookings,https://www.wix.com/app-market/web-solution/bookings,Business Services,,bookings:Bookings,,3.4,1801,,Wix,"Scheduling platform, calendar & online booking",true,https://static.wixstatic.com/media/35359a_13bd028132814c6f9cdffeaa07e9c134~mv2.png/v1/fill/35359a_13bd028132814c6f9cdffeaa07e9c134~mv2.png,- Track Your Performance: Get detailed analytics on your finances,2025-07-06T23:07:11.846Z
wix-music,Wix Music,https://www.wix.com/app-market/web-solution/wix-music,Business Services,,music:Music,,3.5,304,,Wix,Stream & sell your audio with the Wix player,true,https://static.wixstatic.com/media/454bab_ac6f5b6b090c426098a6322b7d861e70~mv2.png/v1/fill/454bab_ac6f5b6b090c426098a6322b7d861e70~mv2.png,,2025-07-06T23:07:11.922Z
tiktok,TikTok Ads,https://www.wix.com/app-market/web-solution/tiktok,Marketing,,,,1.6,20,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",TikTok For Business,true,https://static.wixstatic.com/media/626892_af159c14a59b4481948bd09fb2b20147~mv2.jpg/v1/fill/626892_af159c14a59b4481948bd09fb2b20147~mv2.jpg,,2025-07-06T23:07:12.005Z
loyalty,Wix Loyalty Program,https://www.wix.com/app-market/web-solution/loyalty,Business Services,,coupons--loyalty:Coupons & Loyalty,,3.8,268,,Wix,Reward customers & increase retention,true,https://static.wixstatic.com/media/65ceb0_ec57cc992a4048c9b37473bdaf7fbd7b~mv2.png/v1/fill/65ceb0_ec57cc992a4048c9b37473bdaf7fbd7b~mv2.png,,2025-07-06T23:07:12.131Z
events,Wix Events & Tickets,https://www.wix.com/app-market/web-solution/events,Business Services,,events:Events,,3.5,1214,,Wix,Event management platform for tickets & RSVPs,true,https://static.wixstatic.com/media/ea7119_e7517ae616f14a2b968349b0109275d2~mv2.png/v1/fill/ea7119_e7517ae616f14a2b968349b0109275d2~mv2.png,,2025-07-06T23:07:12.213Z
wix-ai-assistant-client,Wix AI Site Chat,https://www.wix.com/app-market/web-solution/wix-ai-assistant-client,Design & Content,,chat:Chat; stores:Stores; search:Search,,3,102,,Wix,Give 24/7 AI support and sales advice,true,https://static.wixstatic.com/media/222cbd_84f4218e0dc143d2bd9c300e565e1181~mv2.png/v1/fill/222cbd_84f4218e0dc143d2bd9c300e565e1181~mv2.png,,2025-07-06T23:07:12.293Z
challenges,Wix Online Programs,https://www.wix.com/app-market/web-solution/challenges,Business Services,,online-courses:Online Courses,,3.8,978,,Wix,Build and sell multi-step programs,true,https://static.wixstatic.com/media/bfb4fd_cf1cbfcd0698491c9868a882bb5aba97~mv2.png/v1/fill/bfb4fd_cf1cbfcd0698491c9868a882bb5aba97~mv2.png,,2025-07-06T23:07:12.368Z
spocket-dropshipping,Spocket - US & EU Dropshipping,https://www.wix.com/app-market/web-solution/spocket-dropshipping,eCommerce,,dropship:Dropshipping,,3.9,127,,Spocket,Dropship from Verified US & EU suppliers,true,https://static.wixstatic.com/media/7d1187_58536b113cd34b6689af361daf4372f3~mv2.png/v1/fill/7d1187_58536b113cd34b6689af361daf4372f3~mv2.png,,2025-07-06T23:07:12.445Z
